LineID,Wavelength_nm,Order,MasterSource
WL245.426200_O1,245.4262,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL248.121800_O1,248.1218,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL253.651700_O1,253.6517,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL265.367900_O1,265.3679,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL275.277700_O1,275.2777,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL280.346600_O1,280.3466,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL289.360100_O1,289.3601,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL292.541400_O1,292.5414,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL296.728000_O1,296.728,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL302.149800_O1,302.1498,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL312.566800_O1,312.5668,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL313.154800_O1,313.1548,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL313.183900_O1,313.1839,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL334.148400_O1,334.1484,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL365.015300_O1,365.0153,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL390.637100_O1,390.6371,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL404.656300_O1,404.6563,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL407.783700_O1,407.7837,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL410.391200_O1,410.3912,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL415.608600_O1,415.6086,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL415.859000_O1,415.859,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL419.071300_O1,419.0713,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL419.831700_O1,419.8317,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL420.067400_O1,420.0674,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL425.936200_O1,425.9362,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL427.752800_O1,427.7528,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL435.832800_O1,435.8328,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL491.606800_O1,491.6068,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL546.073500_O1,546.0735,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL567.581000_O1,567.581,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL567.710500_O1,567.7105,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL576.959800_O1,576.9598,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL579.066300_O1,579.0663,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL603.212700_O1,603.2127,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL604.322300_O1,604.3223,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL605.937200_O1,605.9372,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL607.743100_O1,607.7431,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL609.880300_O1,609.8803,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL612.327000_O1,612.327,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL614.947500_O1,614.9475,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL617.227800_O1,617.2278,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL621.250300_O1,621.2503,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL623.289200_O1,623.2892,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL623.436000_O1,623.436,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL629.687200_O1,629.6872,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL630.765700_O1,630.7657,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL633.314700_O1,633.3147,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL638.471700_O1,638.4717,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL640.301200_O1,640.3012,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL641.630700_O1,641.6307,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL650.817400_O1,650.8174,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL653.804500_O1,653.8045,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL660.485300_O1,660.4853,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL667.728200_O1,667.7282,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL671.634000_O1,671.634,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL675.283400_O1,675.2834,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL687.128900_O1,687.1289,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL690.746000_O1,690.746,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL693.766400_O1,693.7664,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL696.543100_O1,696.5431,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL703.025100_O1,703.0251,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL706.721800_O1,706.7218,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL706.873600_O1,706.8736,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL714.704200_O1,714.7042,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL720.698000_O1,720.698,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
