LineID,Wavelength_nm,Order,MasterSource
WL727.293600_O1,727.2936,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL731.171600_O1,731.1716,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL731.600500_O1,731.6005,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL735.329300_O1,735.3293,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL738.398000_O1,738.398,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL750.386900_O1,750.3869,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL751.465200_O1,751.4652,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL763.510600_O1,763.5106,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL772.420700_O1,772.4207,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL794.817600_O1,794.8176,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL800.615700_O1,800.6157,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL801.478600_O1,801.4786,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL810.369300_O1,810.3693,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL811.531100_O1,811.5311,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL826.452200_O1,826.4522,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL840.821000_O1,840.821,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL842.464800_O1,842.4648,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL852.144200_O1,852.1442,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL860.577600_O1,860.5776,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL866.794400_O1,866.7944,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL871.694700_O1,871.6947,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL871.937400_O1,871.9374,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL875.810000_O1,875.81,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL876.300000_O1,876.3,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL912.296700_O1,912.2967,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL922.449900_O1,922.4499,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL929.153100_O1,929.1531,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL935.422000_O1,935.422,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL965.778600_O1,965.7786,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL978.450300_O1,978.4503,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL983.717000_O1,983.717,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL996.704300_O1,996.7043,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL997.782700_O1,997.7827,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL1013.976000_O1,1013.976,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL1029.908900_O1,1029.9089,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL1030.503500_O1,1030.5035,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL1047.005400_O1,1047.0054,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
WL1067.356500_O1,1067.3565,1,G:\WCC4SM_V0_9_3_package20260901a\reference_data\NIST_ASD_HgAr_20260925.lit
